IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.245.139,4,4,0.00,85.40,0.00
104.17.104.93,4,4,0.00,85.52,0.00
104.25.255.50,4,4,0.00,87.83,0.00
104.16.249.205,4,4,0.00,97.56,0.00
162.159.138.212,4,4,0.00,110.35,0.00
162.159.42.197,4,4,0.00,110.93,0.00
104.18.93.74,4,4,0.00,112.50,0.00
198.41.212.203,4,4,0.00,112.98,0.00
104.16.13.139,4,4,0.00,114.72,0.00
162.159.56.240,4,4,0.00,120.28,0.00
108.162.198.52,4,4,0.00,120.52,0.00
104.16.3.33,4,4,0.00,121.27,0.00
104.19.153.24,4,4,0.00,123.29,0.00
104.17.48.1,4,4,0.00,124.12,0.00
198.41.208.63,4,4,0.00,125.12,0.00
172.64.150.42,4,4,0.00,127.36,0.00
104.16.7.190,4,4,0.00,134.21,0.00
104.16.4.223,4,4,0.00,136.33,0.00
104.16.14.75,4,4,0.00,136.61,0.00
162.159.43.1,4,4,0.00,139.94,0.00
104.17.131.25,4,4,0.00,140.71,0.00
198.41.209.144,4,4,0.00,148.05,0.00
104.16.9.114,4,4,0.00,148.72,0.00
104.19.147.226,4,4,0.00,149.93,0.00
162.159.129.97,4,4,0.00,150.43,0.00
162.159.143.80,4,4,0.00,155.65,0.00
104.17.129.49,4,4,0.00,155.95,0.00
104.16.6.251,4,4,0.00,158.56,0.00
162.159.250.249,4,4,0.00,159.24,0.00
104.18.224.46,4,4,0.00,159.99,0.00
198.41.204.138,4,4,0.00,162.27,0.00
104.16.12.136,4,4,0.00,164.91,0.00
162.159.34.79,4,4,0.00,165.47,0.00
104.17.246.27,4,4,0.00,166.17,0.00
162.159.1.44,4,4,0.00,170.35,0.00
104.17.136.210,4,4,0.00,170.58,0.00
104.17.244.185,4,4,0.00,171.63,0.00
190.93.247.47,4,4,0.00,171.69,0.00
104.17.251.238,4,4,0.00,173.52,0.00
104.16.63.7,4,4,0.00,173.70,0.00
104.17.143.107,4,4,0.00,174.33,0.00
104.17.238.238,4,4,0.00,174.99,0.00
104.17.241.83,4,4,0.00,175.07,0.00
104.19.174.231,4,4,0.00,175.33,0.00
104.17.84.51,4,4,0.00,175.61,0.00
104.16.1.16,4,4,0.00,176.09,0.00
141.101.114.10,4,4,0.00,176.44,0.00
104.19.154.21,4,4,0.00,176.95,0.00
104.19.168.75,4,4,0.00,178.05,0.00
104.16.250.61,4,4,0.00,178.29,0.00
104.17.28.133,4,4,0.00,178.85,0.00
104.16.38.171,4,4,0.00,179.84,0.00
104.19.164.151,4,4,0.00,180.03,0.00
162.159.46.244,4,4,0.00,180.56,0.00
104.19.161.251,4,4,0.00,180.78,0.00
104.21.239.72,4,4,0.00,181.72,0.00
104.19.169.177,4,4,0.00,181.96,0.00
104.21.227.135,4,4,0.00,182.02,0.00
104.19.194.202,4,4,0.00,182.64,0.00
104.16.50.2,4,4,0.00,182.70,0.00
162.159.255.63,4,4,0.00,183.21,0.00
104.16.151.129,4,4,0.00,183.82,0.00
104.19.166.8,4,4,0.00,183.87,0.00
104.17.221.46,4,4,0.00,183.88,0.00
104.19.170.218,4,4,0.00,184.42,0.00
162.159.254.57,4,4,0.00,184.62,0.00
162.159.49.253,4,4,0.00,184.93,0.00
104.19.162.1,4,4,0.00,185.26,0.00
162.159.35.71,4,4,0.00,186.17,0.00
104.19.165.212,4,4,0.00,186.51,0.00
198.41.198.141,4,4,0.00,188.04,0.00
198.41.193.40,4,4,0.00,188.96,0.00
104.19.160.91,4,4,0.00,188.99,0.00
104.18.33.102,4,4,0.00,189.32,0.00
162.159.244.187,4,4,0.00,189.47,0.00
162.159.50.235,4,4,0.00,189.51,0.00
162.159.192.60,4,4,0.00,189.90,0.00
162.159.197.20,4,4,0.00,189.96,0.00
104.17.230.162,4,4,0.00,190.38,0.00
104.18.141.69,4,4,0.00,191.44,0.00
198.41.221.67,4,4,0.00,191.68,0.00
172.64.149.198,4,4,0.00,191.81,0.00
162.159.33.164,4,4,0.00,191.95,0.00
162.159.243.41,4,4,0.00,191.96,0.00
104.17.218.248,4,4,0.00,192.87,0.00
162.159.238.146,4,4,0.00,193.19,0.00
162.159.194.107,4,4,0.00,193.98,0.00
162.159.246.190,4,4,0.00,194.02,0.00
108.162.196.254,4,4,0.00,195.01,0.00
198.41.211.93,4,4,0.00,195.14,0.00
104.18.43.67,4,4,0.00,195.63,0.00
162.159.241.128,4,4,0.00,195.73,0.00
162.159.41.144,4,4,0.00,196.63,0.00
162.159.135.39,4,4,0.00,197.79,0.00
198.41.200.243,4,4,0.00,198.04,0.00
